"Label","MP","ProbBtGtLRP","AcceptProbDec","ObsProbDec","ProbDecDiff","ProbBtGtBmsy","ProbB2052GtBmsy","PB2052Gt.8Bmsy","ProbCtLt1992","medAvgCatch","medAvgTAC","medLowCatch","medHighCatch","medAAV","D2019","C2019","npvC_trap","npvC_LL","npvC_trawl","npvD_trap","npvD_LL","npvD_trawl","vptC_trap","vptC_LL","vptC_trawl","inputF","scenario"
"cap.5_hstAl_am10","1",0.996769761,0.2625933,0.246689187,0.015904113,0.304062153,0.499174076,0.748568383,0.184618865,2.383449437,2.515022927,1.971586331,3.053106909,10.780665126,0.239712762,3.05,222.905982654,182.191799537,28.587696431,5.81481155,7.424261614,21.727493151,18204.060234281,18366.929752662,17236.060076467,0.0606,"simRec2016"
"cap.5_hstAl_am5","2",0.996769761,0.2625933,0.245156275,0.017437025,0.30575948,0.50256873,0.748568383,0.158302006,2.428233384,2.673490015,2.003408237,3.053106909,10.895132536,0.239712762,3.05,226.543792673,189.518626243,26.225473233,5.934688727,7.740928841,19.547993015,18200.753690459,18365.944624753,17225.154993024,0.0655,"simRec2016"
"cap.5_rctAl_am10","3",0.996769761,0.2625933,0.246689187,0.015904113,0.307169062,0.499174076,0.75026571,0.204762991,2.333572767,2.468253166,1.926782095,3.053106909,11.002654722,0.239712762,3.05,217.879077413,176.218609198,30.642399964,5.656488588,7.167471564,23.298416239,18206.434851134,18367.987822945,17243.011901481,0.0589,"simRec2016"
"cap.5_rctAl_am5","4",0.996769761,0.2625933,0.24499186,0.01760144,0.314062153,0.507476749,0.75026571,0.194618865,2.349766296,2.596720254,1.925084768,3.053106909,11.322251454,0.239712762,3.05,218.81610741,179.472527698,29.479625424,5.69323806,7.309478174,22.035562534,18204.849017255,18367.348289149,17239.453210569,0.0628,"simRec2016"
"cap0_am10","5",0.996769761,0.2625933,0.245012656,0.017580644,0.304062153,0.501427853,0.756850767,0.168302006,2.418253673,2.633490015,1.986226659,3.053106909,10.747896692,0.239712762,3.05,228.952576168,185.298869903,26.419979359,5.996262217,7.568798901,20.025912328,18201.323798057,18365.593526291,17221.890766279,0.0644,"simRec2016"
"cap0_am5","6",0.996769761,0.2625933,0.248098769,0.014494531,0.304062153,0.497765001,0.76206682,0.141408915,2.48854216,2.888583245,2.013099696,3.116769761,11.466981633,0.239712762,3.11,236.310714104,194.143418505,22.807331783,6.242765029,7.973644964,16.887594661,18195.942039473,18363.835474698,17175.614158549,0.0724,"simRec2016"
"cap1.0_hstAl_am10","7",0.996769761,0.2625933,0.248386514,0.014206786,0.307169062,0.500727784,0.748568383,0.201511956,2.343572767,2.409930204,1.948622534,3.053106909,10.795820197,0.239712762,3.05,217.727570904,177.736951435,30.596370343,5.655079006,7.227635979,23.290689291,18206.258403182,18367.896295343,17243.129499173,0.0572,"simRec2016"
"cap1.0_hstAl_am5","8",0.996769761,0.2625933,0.243603074,0.018990226,0.314062153,0.509009661,0.75026571,0.188281717,2.36187544,2.468253166,1.955372006,3.053106909,10.900331815,0.239712762,3.05,217.657599061,181.91802709,29.245292623,5.66336139,7.404261614,21.91444019,18204.872516047,18367.453145051,17240.078978016,0.059,"simRec2016"
"cap1.0_rctAl_am10","9",0.996769761,0.2625933,0.225864539,0.036728761,0.312529241,0.504390636,0.757015182,0.224742195,2.280054041,2.356823802,1.890320368,3.053106909,11.023689246,0.239712762,3.05,211.72713737,171.141304066,32.62074592,5.47348472,6.946165023,24.899989429,18208.874023979,18368.78972395,17250.799805415,0.0554,"simRec2016"
"cap1.0_rctAl_am5","10",0.996769761,0.2625933,0.24319075,0.01940255,0.307169062,0.500727784,0.747014675,0.221656082,2.295105679,2.428232877,1.895536928,3.053106909,11.220977966,0.239712762,3.05,211.305210423,173.102049597,33.041305215,5.458125048,7.024487985,24.997585941,18208.693619622,18368.773313334,17250.571917459,0.0576,"simRec2016"
"cap1.5_hstAl_am10","11",0.996769761,0.2625933,0.237830571,0.024762729,0.310831914,0.504390636,0.755461474,0.214742195,2.309909915,2.339909915,1.923570896,3.053106909,10.76543074,0.239712762,3.05,215.276633178,173.138299434,31.838033149,5.576756044,7.034508781,24.294170998,18207.804947757,18368.463072639,17247.608248243,0.0551,"simRec2016"
"cap1.5_hstAl_am5","12",0.996769761,0.2625933,0.255712218,0.006881082,0.305615861,0.502260696,0.753764147,0.208425843,2.329909915,2.371463116,1.930319861,3.053106909,10.763149031,0.239712762,3.05,216.285390854,175.629174544,31.469065475,5.605058717,7.139168891,23.751356782,18206.928670507,18368.256313376,17245.675473618,0.0562,"simRec2016"
"cap1.5_rctAl_am10","13",0.996769761,0.2625933,0.228951159,0.033642141,0.307169062,0.499030457,0.752231235,0.223188994,2.286803006,2.329909915,1.900320368,3.053106909,10.8879311,0.239712762,3.05,212.218444608,171.141819159,32.875320668,5.485182047,6.944632111,25.211292853,18208.965059079,18368.993332181,17250.585153547,0.0546,"simRec2016"
"cap1.5_rctAl_am5","14",0.996769761,0.2625933,0.224167212,0.038426088,0.314062153,0.509174076,0.757015182,0.224742195,2.276947132,2.341607242,1.880319861,3.051553201,11.14473481,0.239712762,3.05,209.835191132,171.109872282,32.978530111,5.41669467,6.941381076,25.178269203,18209.308522103,18369.091229476,17251.929684694,0.0549,"simRec2016"
"noCap","15",0.996769761,0.2625933,0.225843743,0.036749557,0.307169062,0.499030457,0.757014675,0.228405047,2.281607242,2.293140154,1.903818805,3.053106909,10.818973924,0.239712762,3.05,213.419288086,169.989415403,32.597910456,5.521539484,6.906165023,25.090529072,18208.823328772,18369.002854382,17250.07568568,0.0537,"simRec2016"
"NoFish","16",1,0.2625933,0,0.2625933,0.773374525,1,1,1,0,0,0,0,0,0.239712762,0,0,0,0,0,0,0,0,0,0,0,"simRec2016"
"NSL","17",0.996769761,0.2625933,0.203458441,0.059134859,0.322364826,0.504535269,0.768239553,0.073023997,2.759970782,2.778273455,2.367470812,3.11490428,8.588242572,0.239712762,3.05,255.123775285,204.944702379,36.27536286,0,0,0,18029.442418315,18341.465285917,15881.989669275,0.0682,"simRec2016"
